scientist,scientistLabel,birthDate,image,article
"http://www.wikidata.org/entity/Q170842","Sergei Korolev","1907-01-12T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9D%D0%B8%D0%BD%D0%B0%20%D0%B8%20%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9%20%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D0%B5%D0%B2%D1%8B%20%28cropped%29.jpg","https://no.wikipedia.org/wiki/Sergej_Koroljov"
"http://www.wikidata.org/entity/Q178577","Q178577","1894-11-26T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Norbert%20wiener.jpg","https://no.wikipedia.org/wiki/Norbert_Wiener"
"http://www.wikidata.org/entity/Q179825","Abdelkader El Djezairi","1808-09-06T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Abd%20Al%20Qadir%20Al%20Djazairi%20at%20Damascus%2C1862.jpg","https://no.wikipedia.org/wiki/Abd_al-Q%C4%81dir"
"http://www.wikidata.org/entity/Q182046","Leon Battista Alberti","1404-02-23T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/CdM%2C%20presunto%20autoritratto%20di%20leon%20battista%20alberti%2Cblack%20ground.jpg","https://no.wikipedia.org/wiki/Leon_Battista_Alberti"
"http://www.wikidata.org/entity/Q182964","Niels Ryberg Finsen","1860-12-15T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Niels%20Ryberg%20Finsen%20portrait.jpg","https://no.wikipedia.org/wiki/Niels_Ryberg_Finsen"
"http://www.wikidata.org/entity/Q183189","James Croll","1821-01-02T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/James%20Croll.jpg","https://no.wikipedia.org/wiki/James_Croll"
"http://www.wikidata.org/entity/Q185007","Rita Levi-Montalcini","1909-04-22T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Rita%20Levi-Montalcini%20%281986%29.png","https://no.wikipedia.org/wiki/Rita_Levi-Montalcini"
"http://www.wikidata.org/entity/Q185832","Emmanuel Swedenborg","1688-02-08T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Emanuel%20Swedenborg%2C%201688-1772%2C%20%C3%A4mbetsman%20%28Per%20Krafft%20d.%C3%A4.%29%20-%20Nationalmuseum%20-%2015710.tif","https://no.wikipedia.org/wiki/Emanuel_Swedenborg"
"http://www.wikidata.org/entity/Q192496","Robert Fulton","1765-11-14T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Fulton%20-%20Circle%20of%20Thomas%20Sully.jpg","https://no.wikipedia.org/wiki/Robert_Fulton"
"http://www.wikidata.org/entity/Q192688","Ivar Giæver","1929-04-05T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Ivar%20Giaever%201973.jpg","https://no.wikipedia.org/wiki/Ivar_Gi%C3%A6ver"
